Year,B_hectares_harvested,B_hectograms_per_hectare_yield,B_tonnes_produced,usa_retail_price,Thousand Units (Bags of 60 kg),B_thousand_USD_grn_coffee_prod,B_annual_avg_temp,B_temp_change
1990,2908960,5036,1464856,2.97,18297.617,1573782.69216,25.12,0.44
1991,2763440,5502,1520382,2.81,18661.18,1633437.60552,25.05,0.47
1992,2500320,5177,1294373,2.58,18290.453,1390622.57628,24.91,0.381
1993,2259330,5660,1278759,2.47,19217.137,1373847.51924,25.02,0.522
1994,2097650,6232,1307289,3.4,17326.104,1404499.01004,25.14,0.612
1995,1869980,4974,930135,4.04,17362.871,999299.8386,25.27,0.781
1996,1920250,7130,1369196,3.43,18059.0,1471009.41456,25.05,0.506
1997,1988190,6179,1228513,4.11,17795.447,1319865.22668,25.28,0.694
1998,2070410,8160,1689366,3.77,18603.799,1814987.25576,25.68,1.282
1999,2222925,7341,1631852,3.43,19359.428,1753196.51472,25.15,0.602
2000,2267968,8393,1903562,3.45,18745.564,2045110.87032,25.09,0.552
2001,2336031,7789,1819569,3.09,19553.654,1954872.15084,25.36,0.759
2002,2370891,11011,2610524,2.92,19124.512,2804642.56464,25.63,1.059
2003,2395501,8295,1987074,2.92,20192.678,2134832.82264,25.43,0.975
2004,2368040,10412,2465710,2.85,20972.764,2649060.1956,25.35,0.804
2005,2325920,9201,2140169,3.26,20997.545,2299311.96684,25.61,1.117
2006,2312157,11130,2573368,3.2,20667.379,2764723.64448,25.42,0.817
2007,2264129,9933,2249011,3.47,21033.273,2416247.45796,25.54,0.98
2008,2222224,12586,2796927,,21652.428,3004906.49172,25.24,0.72
2009,2135508,11426,2440056,3.67,21435.967,2621498.56416,25.44,0.941
2010,2159785,13461,2907265,3.91,21783.457,3123449.2254,25.68,1.107
2011,2148775,12568,2700540,5.19,22043.891,2901352.1544,25.36,0.812
2012,2120080,14327,3037534,5.68,22231.664,3263405.02824,25.56,1.052
2013,2085522,14215,2964538,5.45,23417.0,3184981.04568,25.5,0.963
2014,1997827,14036,2804070,4.99,23767.0,3012580.6452,25.67,1.169
2015,1977714,13387,2647504,4.72,24438.0,2844372.39744,25.97,1.6
2016,1996604,15148,3024466,4.39,25243.0,3243547.63236,25.84,1.49
2017,1802417,14894,2684508,4.45,26183.0,3206246.65221,25.77,1.348
2018,1863966,19060,3552729,4.3,26514.328,3252619.81583,25.59,1.17
2019,1825283,16500,3011745,4.141333,26865.659,3298065.51618,25.94,1.532
2020,1898239,19493,3700231,,,,,1.449
